fight,winner_pick,winner_probability,winner_fair_american,winner_v0_3_a_probability,winner_v0_4_boosting_a_probability,winner_all_models_same_side,top_winner_method,top_winner_method_probability,direct_method_top_class,direct_method_top_probability,method_model_agreement,round_top,round_top_probability_shadow,under_0_5_probability_shadow,under_1_5_probability_shadow,under_2_5_probability_shadow,goes_distance_probability_shadow,round_2_starts_probability_shadow,round_3_starts_probability_shadow,coverage_status,odds_used
Norbert Novenyi Jr. vs Theo Haig,Norbert Novenyi Jr.,0.6193969233564794,-163,0.4074617553505661,0.8788842991876807,False,Norbert Novenyi Jr. by DEC,0.48482289239527976,B_SUB,0.4082026218664048,False,R1,0.42905478340968195,0.039954993505902765,0.4839729642184604,0.48002940914494807,0.3000656591047886,0.6572042231715955,0.34353057666263764,PRIMARY_V0_4,False
Alvi Dasuyev vs Jaden Ortega,Alvi Dasuyev,0.7121293675895911,-247,0.5023953291380967,0.5037400983232004,True,Alvi Dasuyev by SUB,0.3723219499777206,B_DEC,0.6499860295030947,False,DEC,0.4455024428852416,0.03044725286795273,0.22008565330769775,0.4693524947144681,0.4232844922667092,0.7986026988556411,0.7909575137651478,PRIMARY_V0_4,False
Marcos Degli vs Paris Moran,Marcos Degli,0.9452324230516712,-1726,0.5816825304012953,0.8824422563521701,True,Marcos Degli by KO_TKO,0.8004979898370653,B_DEC,0.41164650223756044,False,DEC,0.9520683655316095,0.1790543927796434,0.24149252784790162,0.17025224617748227,0.8456685956112787,0.8373968500536632,0.8319756959138104,PRIMARY_V0_4,False
Piero Guaylupo vs Callum Connor,Piero Guaylupo,0.8094539696418307,-425,0.5272321919738164,0.5018979148481042,True,Piero Guaylupo by KO_TKO,0.382152420445776,A_KO_TKO,0.3066897139873158,True,DEC,0.6664430428948066,0.07010664155911761,0.20882139203711758,0.27591941912090706,0.6763866297805644,0.8775111836195644,0.7187474135234153,PRIMARY_V0_4,False
Damian Piwowarczyk vs Emilio Quissua,Emilio Quissua,0.8264458152344444,-476,0.48644484719883635,0.04515652616171367,True,Emilio Quissua by KO_TKO,0.6492525135875346,A_DEC,0.5250128857644903,False,R3,0.3599508712541535,0.20568491072811945,0.25963479759372415,0.4369570981280691,0.2475748604824363,0.8706335001057691,0.6762969846860816,PRIMARY_V0_4,False
