event_date,event_id,train_rows,test_rows,n,accuracy,brier,log_loss,auc
2019-06-26,401128919,96,5,5,0.6,0.2620185543660109,0.690234071648408,0.75
2019-07-10,401128920,101,4,4,1.0,0.002825110210198946,0.04689913877997187,1.0
2019-07-17,401128921,105,5,5,0.8,0.06725948385512995,0.21478892897868831,1.0
2019-07-24,401128922,110,5,5,0.6,0.11896063591941423,0.33615057019048766,0.8333333333333334
2019-07-31,401128923,115,5,5,0.8,0.10762952761662095,0.33322246851472953,1.0
2019-08-07,401128924,120,5,5,0.8,0.09733695957159925,0.26620039658262123,1.0
2019-08-14,401128925,125,5,5,1.0,0.04841732265781022,0.15385274229293736,1.0
2019-08-21,401128926,130,5,5,1.0,0.03695563248103435,0.12510815974507752,1.0
2019-08-28,401128918,135,4,4,0.75,0.11950171262879851,0.37133275420173895,1.0
2020-08-05,401221629,139,4,4,1.0,0.008746456030591997,0.07845111737717153,1.0
2020-08-12,401221630,143,5,5,1.0,0.03478742709835894,0.15331583868263216,1.0
2020-08-19,401221631,148,5,5,1.0,0.008743346812763468,0.06924044581813207,1.0
2020-08-26,401221632,153,5,5,1.0,0.0001819695501372653,0.011394806583665148,1.0
2020-09-02,401222724,158,5,5,1.0,0.0005232184551098828,0.019841752841571917,1.0
2020-09-09,401222785,163,5,5,0.6,0.3163571758622158,0.9384357541127162,0.5
2020-09-16,401222786,168,5,5,1.0,0.04249913254927925,0.1870961931391375,1.0
2020-11-05,401223624,173,4,4,1.0,0.0005621562690955118,0.021290038188836374,1.0
2020-11-11,401223625,177,5,5,1.0,0.02735376886711153,0.11471810010706145,1.0
2020-11-18,401223626,182,5,5,0.6,0.22800866685487992,0.6149431174383635,1.0
2021-09-01,600008640,187,4,4,1.0,0.000855650212251581,0.02608053301701012,1.0
2021-09-08,600008641,191,4,4,0.75,0.10366028551494307,0.27528162294598585,1.0
2021-09-15,600008642,195,5,5,0.8,0.19531183571098218,0.8909629457888697,0.6666666666666666
2021-09-22,600008643,200,5,5,0.8,0.059123625199112836,0.20205813768717387,1.0
2021-09-29,600008644,205,4,4,0.25,0.49732695107393604,1.3057187840067541,0.0
2021-10-06,600010080,209,5,5,0.8,0.07496618760636832,0.2304835641951659,1.0
2021-10-13,600010081,214,5,5,0.8,0.176779420585436,0.5771162705075789,0.8333333333333333
2021-10-20,600011551,219,5,5,1.0,0.023390008129885675,0.09747013027123655,1.0
2021-10-27,600011552,224,6,6,0.5,0.35917030911866327,1.1368465231229437,0.75
2021-11-03,600011553,230,5,5,0.8,0.16265169106990926,0.4839994222263667,0.25
2022-07-27,600021770,235,4,4,0.5,0.2533194253777481,0.6705264265279695,0.75
2022-08-03,600021771,239,5,5,1.0,0.027410155035529755,0.11692158792242488,1.0
2022-08-10,600021772,244,5,5,1.0,0.01699300915542512,0.08881898346716022,1.0
2022-08-17,600021773,249,5,5,1.0,0.02361369247612961,0.15108405938209263,1.0
2022-08-24,600022207,254,5,5,0.6,0.2308629559518705,0.651059971390085,
2022-08-31,600022208,259,5,5,0.8,0.14204507891459156,0.38423492756565125,0.8333333333333334
2022-09-07,600022209,264,5,5,1.0,0.048825752959760535,0.20954277506931507,1.0
2022-09-14,600022210,269,5,5,1.0,0.001183324090994153,0.02729062952266855,1.0
