feature,non_null_pct,non_zero_pct,mean,std
age_diff,0.9783653846153846,0.9783653846153846,-0.32357755514288494,4.473705334903476
height_diff,0.9975961538461539,0.8269230769230769,-0.10404819277108394,6.395000538055476
reach_diff,0.9110576923076923,0.84375,-0.07707124010554092,8.726654548034517
height_missing_diff,1.0,0.002403846153846154,-0.002403846153846154,0.049029033784546
reach_missing_diff,1.0,0.08653846153846154,0.0,0.2945284162042896
southpaw_diff,1.0,0.2764423076923077,0.036057692307692304,0.5251715373585369
switch_diff,1.0,0.19471153846153846,0.002403846153846154,0.4417860686929767
striker_style_diff,1.0,0.2764423076923077,-0.01201923076923077,0.5262733355640128
grappler_style_diff,1.0,0.14903846153846154,0.009615384615384616,0.3863999378306295
prior_dwcs_bouts_diff,1.0,0.17548076923076922,0.009615384615384616,0.4603862664819107
prior_dwcs_wins_diff,1.0,0.07211538461538461,0.016826923076923076,0.28148578058401397
prior_dwcs_win_pct_diff,1.0,0.07211538461538461,0.015625,0.25811381397332345
prior_dwcs_finish_pct_diff,1.0,0.028846153846153848,0.002403846153846154,0.15904531561447005
prior_dwcs_ko_win_pct_diff,1.0,0.014423076923076924,-0.001201923076923077,0.1124684591765437
prior_dwcs_sub_win_pct_diff,1.0,0.014423076923076924,0.003605769230769231,0.1124169449362704
prior_dwcs_dec_win_pct_diff,1.0,0.04326923076923077,0.010817307692307692,0.19451095373116836
prior_dwcs_avg_duration_diff,1.0,0.18028846153846154,0.13293269230769228,4.764719848428969
prior_dwcs_over25_rate_diff,1.0,0.09375,0.004807692307692308,0.2944890801885943
prior_dwcs_stats_available_diff,1.0,0.16105769230769232,0.016826923076923076,0.40144981693153775
prior_dwcs_sig_landed_pm_diff,1.0,0.16826923076923078,0.03757916104160679,2.3799599449425943
prior_dwcs_sig_attempted_pm_diff,1.0,0.16826923076923078,0.03774271657491805,4.902100590259625
prior_dwcs_sig_accuracy_diff,1.0,0.16826923076923078,0.00978512028585194,0.2151313403113957
prior_dwcs_td_landed_per15_diff,1.0,0.08653846153846154,0.22025174939212638,2.3069532363152008
prior_dwcs_td_attempted_per15_diff,1.0,0.11298076923076923,0.4128356047259546,3.6076634065975868
prior_dwcs_td_accuracy_diff,1.0,0.08653846153846154,0.012514365740468684,0.18164895568459308
prior_dwcs_kd_per15_diff,1.0,0.026442307692307692,-0.28558708188119375,3.377579614839174
prior_dwcs_sub_attempts_per15_diff,1.0,0.06971153846153846,0.1618574539386129,1.9696949985351833
