event_date,event_id,train_rows,test_rows,champion_accuracy,champion_brier,champion_log_loss,challenger_accuracy,challenger_brier,challenger_log_loss
2019-06-26,401128919,96,5,0.6,0.27075865793164133,0.7401448552852271,0.8,0.22245674880390615,0.6374032503763305
2019-07-10,401128920,101,4,0.5,0.29491460267012715,0.7805583255030678,0.25,0.30691390109917094,0.8059890488388741
2019-07-17,401128921,105,5,0.8,0.17622045480622156,0.514102301180049,0.4,0.4668052107055415,1.3021103913892624
2019-07-24,401128922,110,5,0.4,0.3951512255042259,1.0590450913092408,0.6,0.23327618643915563,0.6485956056050184
2019-07-31,401128923,115,5,0.6,0.22031916128202872,0.6319719477909047,0.8,0.13793489604038783,0.4431144074359318
2019-08-07,401128924,120,5,0.6,0.2359648957258244,0.6617999452189784,0.8,0.237125554269918,0.7042522126653841
2019-08-14,401128925,125,5,0.4,0.4084955217331947,1.061213701045698,0.6,0.26513442234687157,0.7439455187415236
2019-08-21,401128926,130,5,0.4,0.24356298327816303,0.6611461587271386,0.6,0.2464704336029941,0.6607183984909383
2019-08-28,401128918,135,4,0.5,0.26223147095688076,0.7226069108631722,0.75,0.18754074127390322,0.5550997510310574
2020-08-05,401221629,139,4,0.5,0.18552443860825074,0.5435242852878052,0.75,0.24610073866926185,0.6958424542683779
2020-08-12,401221630,143,5,0.6,0.3172356713260049,0.8881024712181409,0.8,0.21365099984801264,0.6250302088592272
2020-08-19,401221631,148,5,0.6,0.3379790595915829,1.0292234756892995,0.4,0.31249038971940923,0.8448539786905256
2020-08-26,401221632,153,5,0.2,0.39921324978773076,1.0142512570136772,0.6,0.24227186017008093,0.6445007079516161
2020-09-02,401222724,158,5,0.6,0.19692355923134772,0.5614338625152208,0.4,0.28085924177210975,0.7601477972770663
2020-09-09,401222785,163,5,0.6,0.24455532991671308,0.6817832924542971,0.8,0.2364890088680242,0.7058159009627242
2020-09-16,401222786,168,5,0.4,0.468253663390243,1.4580772986222077,0.8,0.15343665997993827,0.472741588032234
2020-11-05,401223624,173,4,0.5,0.2592261013823668,0.7127684790181292,0.5,0.26782469955263777,0.7506258603201224
2020-11-11,401223625,177,5,0.6,0.17104365585140652,0.5116540686694588,0.8,0.18185249311772086,0.5521457622435857
2020-11-18,401223626,182,5,0.6,0.19992064307227336,0.585365638653009,0.8,0.20246166498935686,0.6044604969870737
