event_date,fighter_a,fighter_b,fighter_a_matched,fighter_b_matched,both_matched,fighter_a_last_source_date,fighter_b_last_source_date
2018-08-11,sarah frota,maiara amanajas dos santos,1,1,1,2018-08-10,2018-08-10
2018-08-11,mayra bueno silva,mayana kellem,0,0,0,,
2018-08-12,bruno assis,andre muniz,1,1,1,2018-08-11,2018-08-11
2018-08-12,leonardo silva de oliveira,marcio alexandre jr.,0,1,0,,2018-08-11
2018-08-12,johnny walker,henrique da silva,1,1,1,2018-08-11,2018-08-11
2018-08-12,taila santos,estefani almeida,1,1,1,2018-08-11,2018-08-11
2018-08-12,marina rodriguez,maria oliveira,1,1,1,2018-08-11,2018-08-11
2018-08-12,raulian paiva,allan nascimento,1,1,1,2018-08-11,2018-08-11
2018-08-12,gleidson cutis,thiago moises,0,1,0,,2018-08-11
2018-08-12,gisele moreira,dayana silva,1,1,1,2018-08-11,2018-08-11
2018-08-12,mabelly lima,luana carolina,1,1,1,2017-11-25,2015-05-30
2018-08-12,john allan,vinicius moreira,1,1,1,2018-08-11,2018-08-11
2019-06-19,brendan loughnane,bill algeo,1,1,1,2019-06-18,2019-06-18
2019-06-19,alton meeks,yorgan de castro,0,1,0,,2018-11-17
2019-06-19,hannah goldy,kali robbins,0,0,0,,
2019-06-19,punahele soriano,jamie pickett,1,1,1,2019-06-18,2019-06-18
2019-06-26,kyle daukaus,michael lombardo,0,1,0,,2019-01-19
2019-06-26,tony johnson,alton cunningham,1,1,1,2019-06-25,2019-06-25
2019-06-26,victor reyna,miguel baeza,1,1,1,2018-07-21,2018-12-15
2019-06-26,miles johns,richie santiago,1,1,1,2018-11-30,2017-11-17
2019-06-26,justin gonzales,zach zane,1,1,1,2019-06-25,2019-06-25
2019-07-10,justin sumter,maki pitolo,1,1,1,2019-07-09,2019-07-09
2019-07-10,jonathan pearce,jacob rosales,1,1,1,2019-07-09,2019-07-09
2019-07-10,jesse wallace,joe solecki,1,1,1,2009-03-21,2019-07-09
2019-07-10,hunter azure,chris ocon,1,1,1,2019-07-09,2019-07-09
2019-07-17,stephen regman,antonio arroyo,1,1,1,2019-07-16,2019-07-16
2019-07-17,aaron jeffery,brendan allen,1,1,1,2016-03-12,2019-02-22
2019-07-17,don'tale mayes,ricardo prasel,1,1,1,2019-07-16,2019-07-16
2019-07-17,ode' osbourne,armando villarreal,1,1,1,2019-07-16,2019-07-16
2019-07-17,kevin syler,lance lawrence,1,1,1,2014-11-07,2016-06-25
2019-07-24,kamuela kirk,billy quarantillo,1,1,1,2019-07-23,2019-07-23
2019-07-24,ramazan kuramagomedov,jordan williams,1,1,1,2019-07-23,2019-07-23
2019-07-24,alexander poppeck,jamahal hill,0,0,0,,
2019-07-24,jj okanovich,christian lohsen,0,1,0,,2019-07-23
2019-07-24,terrance mckinney,sean woodson,1,1,1,2019-07-23,2019-07-23
2019-07-31,daniel rodriguez,rico farrington,1,1,1,2019-02-22,2014-04-03
2019-07-31,aalon cruz,steven nguyen,1,1,1,2019-07-30,2019-07-30
2019-07-31,tracy cortez,mariya agapova,1,0,0,2018-03-24,
2019-07-31,michal martinek,rodrigo nascimento,1,1,1,2019-07-30,2019-07-30
2019-07-31,aleksa camur,fabio cherant,1,1,1,2019-07-30,2019-07-30
2019-08-07,darrick minner,herbert burns,1,1,1,2019-08-06,2019-08-06
2019-08-07,andre muniz,taylor johnson,1,1,1,2019-08-06,2019-08-06
2019-08-07,dwight joseph,jay perrin,1,1,1,2019-08-06,2019-08-06
2019-08-07,lucrezia ria,marilia santos,1,0,0,2018-09-01,
2019-08-07,omar morales,harvey park,1,1,1,2019-08-06,2019-08-06
