event_date,fighter_a,fighter_b,fighter_a_matched,fighter_b_matched,both_matched,fighter_a_last_source_date,fighter_b_last_source_date
2024-08-28,nick piccininni,jack duffy,0,1,0,,2023-04-28
2024-09-04,igor cavalcanti,seokhyeon ko,0,0,0,,
2024-09-04,will currie,djorden santos,1,1,1,2024-03-30,2021-12-19
2024-09-04,gauge young,quillan salkilld,1,0,0,2023-07-28,
2024-09-04,dorian ramos,austin bashi,1,1,1,2024-01-20,2024-06-01
2024-09-04,yuneisy duben,shannon clark,1,1,1,2024-09-03,2024-09-03
2024-09-11,corinne laframboise,nicolle caliari,1,1,1,2021-03-20,2023-10-29
2024-09-11,taiga iwasaki,yousri belgaroui,0,1,0,,2023-10-29
2024-09-11,otari tanzilovi,josias musasa,1,1,1,2024-09-10,2024-09-10
2024-09-11,phil latu,navajo stirling,0,1,0,,2024-06-14
2024-09-18,dylan mantello,ahmad hassanzada,1,0,0,2024-09-17,
2024-09-18,aaron tau,elijah smith,0,0,0,,
2024-09-18,arthur lopes,tallison teixeira,1,1,1,2024-09-17,2024-09-17
2024-09-18,ateba gautier,yura naito,0,0,0,,
2024-09-18,benjamin bennett,joey hart,1,1,1,2024-09-17,2024-09-17
2024-09-25,danylo voievodkin,bailey schoenfelder,1,1,1,2024-09-24,2024-09-24
2024-09-25,daniel frunza,vadym kutsyi,1,1,1,2024-09-24,2024-09-24
2024-09-25,rose conceição,alexia thainara,1,1,1,2024-09-24,2024-09-24
2024-09-25,kevin vallejos,cam teague,1,1,1,2023-12-22,2024-08-02
2024-09-25,francesco mazzeo,kevin christian,1,1,1,2024-09-24,2024-09-24
2024-10-02,torrez finney,abdellah er-ramy,1,0,0,2024-05-04,
2024-10-02,xavier franklin,david martinez,1,1,1,2024-10-01,2024-10-01
2024-10-02,alberto montes,carlos calderon,1,1,1,2017-07-27,2023-09-23
2024-10-02,diyar nurgozhay,bartosz szewczyk,1,1,1,2024-10-01,2024-10-01
2024-10-02,christien savoie,jacobe smith,0,1,0,,2024-02-23
2024-10-09,vanilto antunes,islam dulatov,0,1,0,,2023-03-11
2024-10-09,anthony drilich,sean gauci,1,1,1,2024-10-08,2024-10-08
2024-10-09,chasen blair,kody steele,1,1,1,2024-10-08,2024-10-08
2024-10-09,islem masraf,artem vakhitov,1,0,0,2024-03-07,
2024-10-09,lucas camacho,mario pinto,0,1,0,,2023-03-11
2024-10-16,yadier del valle,antonio monteiro,1,1,1,2024-10-15,2024-10-15
2024-10-16,heraldo souza,nick klein,1,1,1,2024-05-11,2023-05-20
2024-10-16,nick piccininni,luis gurule,0,1,0,,2024-09-22
2024-10-16,jonathan micallef,mohamed ado,0,0,0,,
2024-10-16,leslie hernandez,julieta martinez,1,1,1,2024-10-15,2024-10-15
2025-08-12,chris ewert,yuri panferov,0,1,0,,2022-11-17
2025-08-12,murtaza talha,baisangur susurkaev,0,1,0,,2025-02-21
2025-08-12,ty miller,jimmy drago,0,1,0,,2025-03-14
2025-08-12,radley da silva,george mangos,1,0,0,2024-05-09,
2025-08-12,ilian bouafia,neemias santana,1,0,0,2024-07-25,
2025-08-20,josh hokit,guilherme uriel,1,1,1,2025-08-19,2025-08-19
2025-08-20,brandon holmes,cam rowston,0,0,0,,
2025-08-20,jose delano,manuel exposito,0,1,0,,2025-08-19
2025-08-20,kaushik saikumar,louis lee scott,1,1,1,2025-08-19,2025-08-19
2025-08-20,ramiro jimenez,tommy cuozzi,1,0,0,2023-05-13,
2025-08-27,donte johnson,darion abbey,1,1,1,2025-08-26,2025-08-26
2025-08-27,damon wilson,marcio barbosa,1,1,1,2025-08-26,2025-08-26
2025-08-27,manoel sousa,cristian perez,1,1,1,2025-08-26,2025-08-26
2025-08-27,ryan gandra,trent miller,1,1,1,2025-08-26,2025-08-26
2025-08-27,alik lorenz,abdul-rakhman yakhyaev,1,1,1,2025-08-26,2025-08-26
2025-09-03,mandel nallo,samuel silva,1,1,1,2025-09-02,2025-09-02
2025-09-03,jean-paul lebosnoyani,jack congdon,1,1,1,2025-09-02,2025-09-02
2025-09-03,theo haig,cezary oleksiejczuk,1,1,1,2025-09-02,2025-09-02
2025-09-03,eduardo chapolin,an tuan ho,0,1,0,,2025-09-02
2025-09-03,tommy mcmillen,david mgoyan,1,1,1,2025-04-26,2025-02-14
2025-09-10,cam teague,lerryan douglas,1,1,1,2025-09-09,2025-09-09
2025-09-10,carol foro,shanelle dyer,1,1,1,2025-09-09,2025-09-09
2025-09-10,chasen blair,samuel sanches,1,1,1,2025-09-09,2025-09-09
2025-09-10,anthony guarascio,steven asplund,1,1,1,2025-09-09,2025-09-09
2025-09-10,freddy vidal,felipe franco,0,1,0,,2023-03-25
2025-09-17,raphael uchegbu,cody chovancek,1,1,1,2025-09-16,2025-09-16
2025-09-17,in soo hwang,paddy mccorry,0,1,0,,2024-11-15
2025-09-17,hecher sosa,mackson lee,1,0,0,2025-09-16,
2025-09-17,mahamed aly,iwo baraniewski,0,1,0,,2024-11-22
2025-09-17,tommy gantt,adam livingston,0,1,0,,2024-10-18
2025-09-24,justice torres,javier reyes,1,1,1,2025-09-23,2025-09-23
2025-09-24,murtazali magomedov,brahyam zurcher,1,1,1,2025-09-23,2025-09-23
2025-09-24,mantas kondratavičius,djani barbir,1,1,1,2025-09-23,2025-09-23
2025-09-24,sofia montenegro,jeisla chaves,0,0,0,,
2025-09-24,rafael tobias,jair de oliveira,1,1,1,2025-09-23,2025-09-23
