event_date,event_id,train_rows,test_rows,n,accuracy,brier,log_loss,auc
2019-06-26,401128919,96,5,5,0.6,0.2767592216987228,0.754563054708963,0.25
2019-07-10,401128920,101,4,4,0.5,0.2902819500587697,0.7686875461947271,0.75
2019-07-17,401128921,105,5,5,0.8,0.17380729422591848,0.5085516109563084,0.8333333333333333
2019-07-24,401128922,110,5,5,0.4,0.41350790783888697,1.1101300485955103,0.33333333333333337
2019-07-31,401128923,115,5,5,0.6,0.22718436810560155,0.6465284244707308,0.75
2019-08-07,401128924,120,5,5,0.6,0.23785394778295105,0.665724837276316,0.75
2019-08-14,401128925,125,5,5,0.4,0.38930963272891084,1.0051861169308993,0.0
2019-08-21,401128926,130,5,5,0.4,0.24332707186987604,0.6615476840222135,1.0
2019-08-28,401128918,135,4,4,0.5,0.2602765620107985,0.7181720636448742,0.6666666666666667
2020-08-05,401221629,139,4,4,0.5,0.19718229433802242,0.5684794507360706,1.0
2020-08-12,401221630,143,5,5,0.6,0.31166885144268364,0.8698158307133074,0.5
2020-08-19,401221631,148,5,5,0.6,0.36105486633194434,1.1048688897521917,0.5
2020-08-26,401221632,153,5,5,0.2,0.39519396073212953,1.0030924637484433,0.0
2020-09-02,401222724,158,5,5,0.6,0.19365954731366683,0.5545794170792567,1.0
2020-09-09,401222785,163,5,5,0.6,0.23464813033238457,0.6602721710255783,0.5
2020-09-16,401222786,168,5,5,0.4,0.4616318684170822,1.3942704159274535,0.25
2020-11-05,401223624,173,4,4,0.5,0.26266242984320565,0.7188461857225457,0.75
2020-11-11,401223625,177,5,5,0.6,0.1669490763431405,0.5022030307165126,1.0
2020-11-18,401223626,182,5,5,0.6,0.21210919804746647,0.6098821234957523,1.0
2021-09-01,600008640,187,4,4,1.0,0.14235742564132414,0.4677412934557042,1.0
2021-09-08,600008641,191,4,4,0.25,0.3236084862537045,0.86489419058578,0.33333333333333337
2021-09-15,600008642,195,5,5,0.4,0.3606431707215728,0.9524770245453185,0.3333333333333333
2021-09-22,600008643,200,5,5,0.8,0.17270714129628123,0.5315671836595385,1.0
2021-09-29,600008644,205,4,4,0.5,0.2988577083346964,0.8054208693800693,0.33333333333333337
2021-10-06,600010080,209,5,5,0.4,0.26729893382917197,0.7279631244918544,0.5
2021-10-13,600010081,214,5,5,1.0,0.16254509588905558,0.5149813725916635,1.0
2021-10-20,600011551,219,5,5,0.8,0.14346625214273373,0.4654404264196713,1.0
2021-10-27,600011552,224,6,6,0.3333333333333333,0.2596489857699712,0.7115422085900981,0.875
2021-11-03,600011553,230,5,5,0.8,0.10703201692868362,0.3834241119398628,1.0
2022-07-27,600021770,235,4,4,0.5,0.31102103596080677,0.8332603935854632,0.25
2022-08-03,600021771,239,5,5,0.8,0.16033718438946237,0.4699809186727618,1.0
2022-08-10,600021772,244,5,5,0.8,0.17085456980059638,0.5129241110990521,0.5
2022-08-17,600021773,249,5,5,0.4,0.2317130697184989,0.6492492418756638,1.0
2022-08-24,600022207,254,5,5,0.0,0.4237905463409414,1.0740645858885685,
2022-08-31,600022208,259,5,5,0.8,0.1556973277666145,0.4938863212691347,1.0
2022-09-07,600022209,264,5,5,0.6,0.20457900789822075,0.5842141905151633,1.0
2022-09-14,600022210,269,5,5,0.4,0.21754657732340044,0.6158627703687225,0.5
2022-09-21,600022211,274,5,5,0.8,0.15338837421146004,0.48757696656534105,1.0
2022-09-28,600022212,279,5,5,0.4,0.371537336784702,2.130814999897613,0.25
2023-08-08,600036332,284,5,5,0.8,0.1922502677973652,0.5758230464665701,1.0
2023-08-15,600036492,289,5,5,0.6,0.15820646492033807,0.48496276507096603,
2023-08-23,600036493,294,4,4,0.5,0.22415958256995128,0.6346787649545931,0.6666666666666667
2023-08-30,600036494,298,5,5,0.8,0.15943533097765697,0.4864361037090303,1.0
2023-09-06,600036495,303,5,5,0.8,0.13929808930641907,0.4499911507501702,1.0
2023-09-13,600036496,308,5,5,1.0,0.14303740045129035,0.4705407103475091,
2023-09-20,600036497,313,4,4,0.5,0.18619963190984615,0.5543888931091514,
2023-09-27,600036498,317,5,5,0.6,0.27749029961565586,0.7566893284758177,
2023-10-04,600036499,322,4,4,0.75,0.17688843222447148,0.5195690413191015,0.75
2023-10-11,600036500,326,6,6,0.8333333333333334,0.14089178653947446,0.45510282378375777,1.0
2024-08-13,600047624,332,5,5,0.6,0.2508323859460357,0.6947454921254759,0.5
2024-08-20,600047773,337,5,5,1.0,0.09077569875762455,0.3057230686924318,1.0
