event_date,event_id,train_rows,test_rows,n,accuracy,brier,log_loss,auc
2019-06-26,401128919,96,5,5,0.6,0.1635532816702733,0.4540182694384399,0.5
2019-07-10,401128920,101,4,4,1.0,0.06468761507409584,0.23159778495420663,1.0
2019-07-17,401128921,105,5,5,1.0,0.03474084937188009,0.16585236765767591,1.0
2019-07-24,401128922,110,5,5,0.8,0.18815786178617,0.5460297725208141,0.8333333333333334
2019-07-31,401128923,115,5,5,0.8,0.14686945196146933,0.4309722308450665,0.75
2019-08-07,401128924,120,5,5,1.0,0.032109043773926274,0.1257769692826279,1.0
2019-08-14,401128925,125,5,5,0.8,0.18681996484915697,0.5427236270741698,1.0
2019-08-21,401128926,130,5,5,0.8,0.112083525639406,0.3685380044892538,1.0
2019-08-28,401128918,135,4,4,0.75,0.18258087527499078,0.5408510265779,0.6666666666666667
2020-08-05,401221629,139,4,4,0.75,0.09382061840409739,0.31873871177161395,1.0
2020-08-12,401221630,143,5,5,0.8,0.13322665017832672,0.38578192777925985,1.0
2020-08-19,401221631,148,5,5,0.6,0.334293027312919,1.0583400801814806,0.6666666666666666
2020-08-26,401221632,153,5,5,1.0,0.03566722260223191,0.16762820930855674,1.0
2020-09-02,401222724,158,5,5,1.0,0.004235461254799697,0.0631814773952449,1.0
2020-09-09,401222785,163,5,5,0.8,0.1843637113600563,0.5359505993615834,0.6666666666666666
2020-09-16,401222786,168,5,5,0.8,0.17412032466268315,0.5250776552303165,0.75
2020-11-05,401223624,173,4,4,1.0,0.050055210794944724,0.19431370632787534,1.0
2020-11-11,401223625,177,5,5,1.0,0.009828832990141438,0.09061361479059779,1.0
2020-11-18,401223626,182,5,5,0.6,0.18938268363050398,0.5413815858013917,1.0
2021-09-01,600008640,187,4,4,1.0,0.011613370560038394,0.08460540511772019,1.0
2021-09-08,600008641,191,4,4,1.0,0.061901070829992834,0.20554973470602872,1.0
2021-09-15,600008642,195,5,5,1.0,0.03728480467448693,0.15514306996321656,1.0
2021-09-22,600008643,200,5,5,0.6,0.27738933122021464,0.765921197350175,0.5
2021-09-29,600008644,205,4,4,0.75,0.22270373330394913,0.6379057964970234,1.0
2021-10-06,600010080,209,5,5,0.8,0.13410584306667325,0.40756635777118866,0.8333333333333334
2021-10-13,600010081,214,5,5,1.0,0.029802146524461875,0.10659350670947601,1.0
2021-10-20,600011551,219,5,5,1.0,0.025739550326911727,0.12506368430268805,1.0
2021-10-27,600011552,224,6,6,0.6666666666666666,0.20302891051559194,0.5640854322702488,0.875
2021-11-03,600011553,230,5,5,0.8,0.09099704809962451,0.2977431404244785,1.0
2022-07-27,600021770,235,4,4,0.75,0.171565014126133,0.5090654758534303,0.75
2022-08-03,600021771,239,5,5,1.0,0.025936994426201936,0.10446910014364175,1.0
2022-08-10,600021772,244,5,5,1.0,0.013417738386316385,0.08471698211366421,1.0
2022-08-17,600021773,249,5,5,0.6,0.20116641854879477,0.5429191801859675,1.0
2022-08-24,600022207,254,5,5,0.4,0.3484143276071031,0.9328075428738009,
2022-08-31,600022208,259,5,5,0.8,0.08970708836650841,0.26542650485703145,1.0
2022-09-07,600022209,264,5,5,1.0,0.03203306785383363,0.1428774524913416,1.0
2022-09-14,600022210,269,5,5,1.0,0.0006231112783565629,0.0199760813738395,1.0
2022-09-21,600022211,274,5,5,1.0,0.017239564355994778,0.10906212189124606,1.0
2022-09-28,600022212,279,5,5,0.6,0.30297056360881586,1.353299178152185,0.5
2023-08-08,600036332,284,5,5,0.8,0.3108164069963989,1.5117735179212037,0.6666666666666667
2023-08-15,600036492,289,5,5,0.6,0.2693206388434375,1.3998621817299903,
2023-08-23,600036493,294,4,4,1.0,0.0175548128009818,0.12578867921620582,1.0
2023-08-30,600036494,298,5,5,0.6,0.21278672627954168,0.603577015163516,0.6666666666666667
2023-09-06,600036495,303,5,5,0.8,0.10747942029832622,0.31625128703624267,1.0
2023-09-13,600036496,308,5,5,1.0,0.0028897246579059916,0.037556489653658036,
2023-09-20,600036497,313,4,4,1.0,0.0549458765341037,0.19406918763112851,
2023-09-27,600036498,317,5,5,0.6,0.24701149410560896,0.6868614277283088,
2023-10-04,600036499,322,4,4,0.5,0.1974299180619142,0.5752919515750662,0.75
2023-10-11,600036500,326,6,6,1.0,0.08365659511178275,0.2948808171008253,1.0
2024-08-13,600047624,332,5,5,0.8,0.17289662927491228,0.5210920281537681,0.6666666666666667
2024-08-20,600047773,337,5,5,0.8,0.17923904933611215,0.6015179557549597,1.0
2024-08-28,600047774,342,5,5,0.8,0.1430020314464413,0.41830952127342014,0.8333333333333333
2024-09-04,600047775,347,5,5,0.6,0.2999842065526551,1.0057771131724758,0.75
2024-09-11,600047776,352,4,4,0.5,0.2262869648622696,0.5865287649173283,
2024-09-18,600047777,356,5,5,0.8,0.11948039140350897,0.3795461054593395,1.0
2024-09-25,600047778,361,5,5,0.8,0.06911120615274349,0.21244854796674234,1.0
2024-10-02,600047779,366,5,5,1.0,0.03938718619716306,0.17316769717479713,1.0
2024-10-09,600047780,371,5,5,0.8,0.1620679625667134,0.4545860421887296,
2024-10-16,600047781,376,5,5,0.6,0.1980987710677399,0.5261522580246487,0.6666666666666667
2025-08-12,600055020,381,5,5,0.8,0.23263141701297968,0.6624926927176535,0.8333333333333333
2025-08-20,600055021,386,5,5,0.8,0.10522342282579215,0.31704426706448174,1.0
2025-08-27,600055005,391,5,5,1.0,0.007466760084461814,0.0643616433417694,1.0
2025-09-03,600055006,396,5,5,0.6,0.2733038405714417,0.7333033485407892,1.0
2025-09-10,600055007,401,5,5,0.8,0.11942862853561045,0.3471183518456272,1.0
2025-09-17,600055031,406,5,5,0.8,0.20326535365531267,0.571934705579831,0.6666666666666667
2025-09-24,600055032,411,5,5,1.0,0.11022853703019456,0.3578442973131645,1.0
