segment,n,accuracy,brier,log_loss,auc
both_matched,217,0.9170506912442397,0.07821706220616254,0.2894612967207383,0.9511156532106966
neither_matched,14,0.7142857142857143,0.17978209739862874,0.5392221435117842,0.8444444444444444
one_matched,89,0.6179775280898876,0.25716020460893824,0.7547329194742208,0.6292929292929291
