event_index,event_date,event_id,bout_key,fighter_a_id,fighter_b_id,fighter_a,fighter_b,winner_a,winner_name,method,finish_round,duration_minutes,age_diff,height_diff,reach_diff,southpaw_diff,grappler_style_diff,striker_style_diff,prior_bouts_diff,prior_win_pct_diff,prior_finish_pct_diff,prior_ko_win_pct_diff,prior_sub_win_pct_diff,prior_avg_duration_diff,prior_sig_landed_pm_diff,prior_td_landed_per15_diff,prior_kd_per15_diff,prior_sub_attempts_per15_diff
0,2017-07-11,400961602,400961602|2506260|2558159,2506260,2558159,greg rebello,azunna anyanwu,0,azunna anyanwu,KO-TKO,2,8.07,-0.8542269861804144,-2.539999999999992,-10.160000000000025,1,0,-1,0,0,0,0,0,0,0,0,0,0
0,2017-07-11,400961602,400961602|3020777|4237148,4237148,3020777,jamie pickett,charles byrd,0,charles byrd,SUBMISSION,1,4.92,-4.8844261004675005,10.159999999999997,17.78,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2017-07-11,400961602,400961602|3122040|3928693,3122040,3928693,boston salmon,ricky turcios,1,boston salmon,DEC-UNA,3,15,2.540777702485336,0,-7.6200000000000045,1,0,1,0,0,0,0,0,0,0,0,0,0
0,2017-07-11,400961602,400961602|3128221|3961774,3128221,3961774,joby sanchez,manny vazquez,1,joby sanchez,DEC-UNA,3,15,2.4066202591428976,-10.160000000000025,-10.159999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017-07-19,400966346,400966346|2553221|3024141,3024141,2553221,dan spohn,angel de anda,1,dan spohn,SUBMISSION,1,3.17,0.6242427975933822,20.319999999999993,195.58,1,0,-1,0,0,0,0,0,0,0,0,0,0
1,2017-07-19,400966346,400966346|2557012|3895524,2557012,3895524,lazar stojadinovic,thanh le,0,thanh le,KO-TKO,2,6.58,-3.5647549230990343,-5.079999999999984,-16.50999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2017-07-19,400966346,400966346|4030197|4082117,4082117,4030197,cee jay hamilton,casey kenney,0,casey kenney,DEC-UNA,3,15,4.4490988863563246,-2.5400000000000205,10.159999999999997,-1,-1,0,0,0,0,0,0,0,0,0,0,0
1,2017-07-19,400966346,400966346|4040925|4237605,4237605,4040925,michael cora,sidney outlaw,0,sidney outlaw,DEC-UNA,3,15,2.6311286337159565,-175.26,2.5400000000000205,1,0,1,0,0,0,0,0,0,0,0,0,0
1,2017-07-19,400966346,400966346|4082018|4205093,4082018,4205093,alfred khashakyan,sean o'malley,0,sean o'malley,KO-TKO,1,4.23,6.2698070460036845,-7.6200000000000045,-5.079999999999984,0,0,-1,0,0,0,0,0,0,0,0,0,0
2,2017-07-25,400966347,400966347|3087807|3111997,3111997,3087807,geoff neal,chase waldon,1,geoff neal,KO-TKO,1,1.93,,-7.6200000000000045,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2,2017-07-25,400966347,400966347|3120931|4236956,4236956,3120931,kyle stewart,jason jackson,1,kyle stewart,KO-TKO,2,5.35,1.7440467634516779,-10.159999999999997,-7.6200000000000045,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017-07-25,400966347,400966347|3887606|4236954,3887606,4236954,ryan spann,karl roberson,0,karl roberson,KO-TKO,1,0.25,-0.8870818702642751,10.160000000000025,12.699999999999989,-1,0,0,0,0,0,0,0,0,0,0,0,0
2,2017-07-25,400966347,400966347|3923647|3948876,3923647,3948876,daniel jolly,alonzo menifield,0,alonzo menifield,DR-TKO,1,5,3.1212139879669003,2.539999999999992,-2.539999999999992,0,0,-1,0,0,0,0,0,0,0,0,0,0
2,2017-07-25,400966347,400966347|4074001|4236955,4236955,4074001,luis gomez,dan ige,0,dan ige,SUBMISSION,3,13.379999999999999,-3.479879805882394,0,-3.8100000000000023,0,-1,0,0,0,0,0,0,0,0,0,0,0
3,2017-08-01,400966348,400966348|3913473|4077475,3913473,4077475,phil hawes,julian marquez,0,julian marquez,KO-TKO,2,7.33,1.3278848983894243,-5.0800000000000125,13.969999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017-08-01,400966348,400966348|3960440|4020801,4020801,3960440,austin arnett,brandon davis,0,brandon davis,DEC-UNA,3,15,-1.4565665277178859,5.079999999999984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017-08-01,400966348,400966348|4013049|4073937,4013049,4073937,carlos candelario,ronaldo candido de oliveira,1,carlos candelario,DEC-UNA,3,15,-2.1109263023881404,5.0800000000000125,172.72,0,-1,0,0,0,0,0,0,0,0,0,0,0
3,2017-08-01,400966348,400966348|4063869|4237014,4237014,4063869,cheyden leialoha,john castaneda,0,john castaneda,DEC-UNA,3,15,-2.2396079317165984,5.0800000000000125,5.079999999999984,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017-08-01,400966348,400966348|4237013|4237015,4237013,4237015,james gray,kyler phillips,0,kyler phillips,KO-TKO,1,0.77,7.630546828476973,2.539999999999992,-182.88,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017-08-08,400968458,400968458|3077954|3155425,3077954,3155425,kevin gray,alex perez,0,alex perez,SUBMISSION,1,2.9,,-7.619999999999976,3.8100000000000023,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017-08-08,400968458,400968458|3152189|4081550,3152189,4081550,jamelle jones,mike rodriguez,0,mike rodriguez,KO-TKO,1,2.25,0.8268479161105304,-10.159999999999997,-19.05000000000001,-1,0,-1,0,0,0,0,0,0,0,0,0,0
4,2017-08-08,400968458,400968458|3164449|3922491,3922491,3164449,ricky simon,donavon frelow,1,ricky simon,DEC-SPLT,3,15,-7.611381479428054,0,12.699999999999989,0,0,1,0,0,0,0,0,0,0,0,0,0
4,2017-08-08,400968458,400968458|4008509|4227122,4008509,4227122,peter petties,julio arce,0,julio arce,KO-TKO,2,7.65,-1.1471830359281832,10.159999999999997,5.079999999999984,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017-08-08,400968458,400968458|4013988|4245091,4013988,4245091,shelton graves,everett sims,1,shelton graves,KO-TKO,3,12.33,2.8665886363169655,5.0800000000000125,-3.8100000000000023,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2017-08-16,400968459,400968459|3020777|3077134,3020777,3077134,charles byrd,buddy wallace,1,charles byrd,SUBMISSION,2,7.05,5.388200989753383,-2.539999999999992,10.159999999999997,0,0,1,1,1,1,0,1,4.92,2.6422764227642275,3.048780487804878,0,3.048780487804878
5,2017-08-16,400968459,400968459|3074719|3931156,3074719,3931156,adrian diaz,grant dawson,0,grant dawson,SUBMISSION,2,6.25,5.820790296857567,0,-182.88,1,-1,0,0,0,0,0,0,0,0,0,0,0
5,2017-08-16,400968459,400968459|4028629|4245681,4028629,4245681,cameron olson,karl reed,1,cameron olson,DEC-UNA,3,15,,-10.160000000000025,-198.12,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2017-08-16,400968459,400968459|4036096|4038127,4036096,4038127,jaime alvarez,martin day,1,jaime alvarez,DEC-UNA,3,15,0.6762630307261617,-5.0800000000000125,-186.69,0,-1,0,0,0,0,0,0,0,0,0,0,0
