event_date,event_id,fighter_a,fighter_b,winner_a,method3,a__cand_wins,b__cand_wins,a__cand_losses,b__cand_losses,a__cand_finish_win_pct,b__cand_finish_win_pct,a__cand_ko_win_pct,b__cand_ko_win_pct,a__cand_sub_win_pct,b__cand_sub_win_pct,a__cand_dec_win_pct,b__cand_dec_win_pct,a__cand_recent5_finish_pct,b__cand_recent5_finish_pct,a__cand_r1_finish_win_pct,b__cand_r1_finish_win_pct,a__cand_early_finish_win_pct,b__cand_early_finish_win_pct,a__cand_multi_route_finisher,b__cand_multi_route_finisher,a__cand_avg_duration_sec,b__cand_avg_duration_sec,a__cand_elo,b__cand_elo,a__opp_losses,b__opp_losses,a__opp_finish_loss_pct,b__opp_finish_loss_pct,a__opp_ko_loss_pct,b__opp_ko_loss_pct,a__opp_sub_loss_pct,b__opp_sub_loss_pct,a__opp_avg_duration_sec,b__opp_avg_duration_sec,a__opp_elo,b__opp_elo,a__elo_edge,b__elo_edge,a__experience_edge,b__experience_edge,a__ko_access,b__ko_access,a__sub_access,b__sub_access,a__decision_route,b__decision_route,a__finish_conversion_vs_vulnerability,b__finish_conversion_vs_vulnerability
2017-07-25,400966347,jason jackson,kyle stewart,0,KO_TKO,2.0,8.0,0.0,0.0,0.0,0.75,0.0,0.375,0.0,0.375,1.0,0.25,0.0,0.8,0.0,0.75,0.0,0.75,0.0,1.0,900.0,306.125,1527.384693923427,1588.7131199517526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.125,900.0,1588.7131199517526,1527.384693923427,-61.328426028325566,61.328426028325566,-6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0
2017-07-25,400966347,karl roberson,ryan spann,1,KO_TKO,1.0,10.0,0.0,5.0,1.0,0.9,0.0,0.1,1.0,0.8,0.0,0.1,1.0,1.0,1.0,0.8,1.0,0.7,0.0,1.0,191.0,448.0,1513.1444535047292,1541.5577523801728,5.0,0.0,0.4,0.0,0.2,0.0,0.2,0.0,448.0,191.0,1541.5577523801728,1513.1444535047292,-28.413298875443616,28.413298875443616,-14.0,14.0,0.0,0.0,0.2,0.0,0.0,0.1,0.4,0.0
2017-07-25,400966347,alonzo menifield,daniel jolly,1,KO_TKO,5.0,2.0,0.0,0.0,1.0,0.5,0.6,0.0,0.4,0.5,0.0,0.5,1.0,0.5,0.8,0.5,0.8,0.0,1.0,0.0,210.5,780.0,1555.272059571638,1520.5671067337164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,210.5,1520.5671067337164,1555.272059571638,34.70495283792161,-34.70495283792161,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2017-07-25,400966347,luis gomez,dan ige,0,SUB,4.0,3.0,2.0,1.0,0.75,0.3333333333333333,0.5,0.0,0.25,0.3333333333333333,0.25,0.6666666666666666,0.75,0.3333333333333333,0.5,0.0,0.5,0.0,1.0,0.0,347.0,871.75,1522.6873911496357,1528.4473315523105,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,871.75,347.0,1528.4473315523105,1522.6873911496357,-5.759940402674829,5.759940402674829,2.0,-2.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.3333333333333333
2017-08-01,400966348,julian marquez,phil hawes,1,KO_TKO,6.0,0.0,2.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,0.8333333333333334,0.0,1.0,0.0,1.0,0.0,253.0,435.0,1543.9285155188354,1491.9806749248075,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,435.0,253.0,1491.9806749248075,1543.9285155188354,51.947840594027866,-51.947840594027866,7.0,-7.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,1.0,0.0
2017-08-01,400966348,brandon davis,austin arnett,1,DEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,400966348,ronaldo candido de oliveira,carlos candelario,0,DEC,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,316.1666666666667,0.0,1568.3533424888612,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.1666666666667,1500.0,1568.3533424888612,68.35334248886124,-68.35334248886124,6.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,400966348,cheyden leialoha,john castaneda,0,DEC,6.0,13.0,0.0,2.0,0.6666666666666666,0.7692307692307693,0.16666666666666666,0.46153846153846156,0.5,0.3076923076923077,0.3333333333333333,0.23076923076923078,0.8,0.8,0.6666666666666666,0.38461538461538464,0.6666666666666666,0.5384615384615384,1.0,1.0,398.3333333333333,512.5333333333333,1565.1244985387295,1609.0738558360665,2.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,512.5333333333333,398.3333333333333,1609.0738558360665,1565.1244985387295,-43.949357297336974,43.949357297336974,-9.0,9.0,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.23076923076923078,0.3333333333333333,0.0
2017-08-01,400966348,james gray,kyler phillips,0,KO_TKO,0.0,4.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,197.0,531.25,1488.9607888099504,1546.750760244593,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,531.25,197.0,1546.750760244593,1488.9607888099504,-57.789971434642666,57.789971434642666,-3.0,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5
2017-08-08,400968458,kevin gray,alex perez,0,SUB,9.0,17.0,3.0,4.0,0.5555555555555556,0.4117647058823529,0.0,0.17647058823529413,0.5555555555555556,0.23529411764705882,0.4444444444444444,0.5882352941176471,0.25,0.25,0.3333333333333333,0.4117647058823529,0.3333333333333333,0.4117647058823529,0.0,1.0,547.5,548.5714285714286,1570.599801740686,1623.2485936911885,4.0,3.0,0.75,1.0,0.0,0.3333333333333333,0.75,0.6666666666666666,548.5714285714286,547.5,1623.2485936911885,1570.599801740686,-52.64879195050253,52.64879195050253,-9.0,9.0,0.0,0.058823529411764705,0.4166666666666667,0.1568627450980392,0.1111111111111111,0.0,0.4166666666666667,0.4117647058823529
2017-08-08,400968458,mike rodriguez,jamelle jones,1,KO_TKO,0.0,7.0,1.0,5.0,0.0,0.8571428571428571,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,1.0,0.0,0.7142857142857143,0.0,0.8571428571428571,0.0,1.0,68.0,414.6363636363636,1489.0602677023699,1523.3439726091049,5.0,1.0,0.6,1.0,0.2,0.0,0.4,1.0,414.6363636363636,68.0,1523.3439726091049,1489.0602677023699,-34.28370490673501,34.28370490673501,-11.0,11.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.8571428571428571
2017-08-08,400968458,ricky simon,donavon frelow,1,DEC,3.0,6.0,1.0,2.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,0.0,0.0,588.0,659.0,1527.7319282350002,1543.3789683963141,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,659.0,588.0,1543.3789683963141,1527.7319282350002,-15.647040161313953,15.647040161313953,-4.0,4.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666
2017-08-08,400968458,julio arce,peter petties,1,KO_TKO,2.0,1.0,2.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.25,900.0,1508.7347848605368,1512.6217818607367,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.5,900.0,739.25,1512.6217818607367,1508.7347848605368,-3.8869970001999263,3.8869970001999263,3.0,-3.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
2017-08-08,400968458,everett sims,shelton graves,0,KO_TKO,0.0,6.0,0.0,3.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.75,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,519.8888888888889,1500.0,1537.6566901330186,3.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,519.8888888888889,0.0,1537.6566901330186,1500.0,-37.65669013301863,37.65669013301863,-9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
2017-08-16,400968459,buddy wallace,charles byrd,0,SUB,0.0,2.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,643.6666666666666,1500.0,1514.4889169818023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.6666666666666,0.0,1514.4889169818023,1500.0,-14.488916981802276,14.488916981802276,-3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2017-08-16,400968459,grant dawson,adrian diaz,1,SUB,2.0,11.0,0.0,5.0,1.0,0.8181818181818182,0.5,0.36363636363636365,0.5,0.45454545454545453,0.0,0.18181818181818182,1.0,1.0,0.0,0.45454545454545453,0.5,0.5454545454545454,1.0,1.0,433.5,500.7647058823529,1527.0725248359795,1565.1015948715683,5.0,0.0,0.6,0.0,0.4,0.0,0.2,0.0,500.7647058823529,433.5,1565.1015948715683,1527.0725248359795,-38.0290700355888,38.0290700355888,-15.0,15.0,0.2,0.0,0.1,0.0,0.0,0.18181818181818182,0.6,0.0
2017-08-16,400968459,cameron olson,karl reed,1,DEC,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,0.0,1489.8098093152153,1500.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,318.0,1500.0,1489.8098093152153,-10.190190684784739,10.190190684784739,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-16,400968459,jaime alvarez,martin day,1,DEC,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,200.0,1488.776114044882,1488.7868557021077,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,200.0,67.0,1488.7868557021077,1488.776114044882,-0.010741657225707968,0.010741657225707968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-16,400968459,tiffany masters,jamie colleen miller,0,SUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-23,400972137,mark cherico,mike santiago,0,KO_TKO,2.0,4.0,1.0,3.0,1.0,0.75,1.0,0.25,0.0,0.5,0.0,0.25,1.0,1.0,0.0,0.5,0.5,0.5,0.0,1.0,293.0,430.0,1514.5372325569194,1520.8963465139516,3.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666,1.0,430.0,293.0,1520.8963465139516,1514.5372325569194,-6.35911395703215,6.35911395703215,-4.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,0.6666666666666666,0.75
2017-08-23,400972137,kennedy nzechukwu,anton berzin,1,DEC,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.5,0.0,1.0,426.0,261.6666666666667,1511.1750287107252,1514.8110280251562,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,261.6666666666667,426.0,1514.8110280251562,1511.1750287107252,-3.6359993144310465,3.6359993144310465,-2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
