event_date,event_id,bout_key,fighter_a_id,fighter_b_id,fighter_a,fighter_b,winner_a,winner_name,method,finish_round,duration_minutes,age_diff,height_diff,reach_diff,height_missing_diff,reach_missing_diff,southpaw_diff,switch_diff,striker_style_diff,grappler_style_diff,prior_dwcs_bouts_diff,prior_dwcs_wins_diff,prior_dwcs_win_pct_diff,prior_dwcs_finish_pct_diff,prior_dwcs_ko_win_pct_diff,prior_dwcs_sub_win_pct_diff,prior_dwcs_dec_win_pct_diff,prior_dwcs_avg_duration_diff,prior_dwcs_over25_rate_diff,prior_dwcs_stats_available_diff,prior_dwcs_sig_landed_pm_diff,prior_dwcs_sig_attempted_pm_diff,prior_dwcs_sig_accuracy_diff,prior_dwcs_td_landed_per15_diff,prior_dwcs_td_attempted_per15_diff,prior_dwcs_td_accuracy_diff,prior_dwcs_kd_per15_diff,prior_dwcs_sub_attempts_per15_diff
2023-09-13,600036496,600036496|4426305|4685730,4685730,4426305,aj cunningham,steven nguyen,0,steven nguyen,KO-TKO,2,9.1,-1.3032437353265287,-2.539999999999992,-5.079999999999984,0.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,-1.0,-0.5,0.0,0.0,0.0,-0.5,-14.8,-1.0,-1.0,-7.364864864864865,-16.95945945945946,-0.4342629482071713,0.0,0.0,0.0,0.0,0.0
2023-09-13,600036496,600036496|4686723|5145494,5145494,4686723,patricia alujas,julia polastri,0,julia polastri,SUBMISSION,2,9.08,1.8234460666543448,5.0800000000000125,2.539999999999992,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,-1.0,-1.0,-4.333333333333333,-8.8,-0.49242424242424243,0.0,0.0,0.0,0.0,0.0
2023-09-13,600036496,600036496|5053878|5145497,5053878,5145497,eduardo neves,jhonata diniz,0,jhonata diniz,KO-TKO,1,3.25,-8.731185445286354,-5.079999999999984,-2.5400000000000205,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.0,1.0,3.58974358974359,6.666666666666667,0.5384615384615384,15.384615384615387,15.384615384615387,1.0,0.0,7.692307692307693
2023-09-13,600036496,600036496|5075748|5092399,5092399,5075748,malik lewis,james llontop,0,james llontop,DEC-UNA,3,15.0,3.4114321307076807,0.0,5.0800000000000125,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.62,0.0,1.0,8.530183727034121,12.598425196850393,0.6770833333333334,7.874015748031496,15.748031496062993,0.5,0.0,0.0
2023-09-13,600036496,600036496|5149436|5149439,5149436,5149439,kasey tanner,jean matsumoto,0,jean matsumoto,DEC-UNA,3,15.0,7.660663805553845,2.5400000000000205,2.539999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-20,600036497,600036497|4868702|4935217,4935217,4868702,dylan mantello,kaynan kruschewsky,0,kaynan kruschewsky,SUBMISSION,1,2.87,-1.6290546691581618,2.539999999999992,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-20,600036497,600036497|4977643|5077056,5077056,4977643,jacobi jones,daniel allen,0,daniel allen,DEC-UNA,3,15.0,-3.786525390665105,-7.6200000000000045,-7.6200000000000045,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-20,600036497,600036497|5121866|5145498,5121866,5145498,greg velasco,shamil gaziev,0,shamil gaziev,SUBMISSION,1,2.63,-3.616775156231821,-5.079999999999984,-21.589999999999975,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-20,600036497,600036497|5126213|5145496,5126213,5145496,jhonata silva,igor severino,0,igor severino,KO-TKO,2,7.62,5.990540531290854,-5.0800000000000125,-7.6200000000000045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-27,600036498,600036498|4688624|4884877,4688624,4884877,victor madrigal,vinicius oliveira,0,vinicius oliveira,KO-TKO,1,3.03,5.289636337501797,-5.079999999999984,1.2700000000000102,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-27,600036498,600036498|4702589|4893608,4893608,4702589,angel pacheco,danny silva,0,danny silva,DEC-UNA,3,15.0,5.048700520886808,-7.6200000000000045,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-27,600036498,600036498|5088544|5152138,5088544,5152138,raheam forest,danny barlow,0,danny barlow,KO-TKO,1,1.32,-1.9411760679548529,-7.6200000000000045,-15.240000000000009,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-27,600036498,600036498|5119702|5149190,5119702,5149190,alexander soldatkin,mario piazzon,0,mario piazzon,DQ,3,10.33,4.821454239306764,12.700000000000017,5.0800000000000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-27,600036498,600036498|5149147|5172179,5172179,5149147,carli judice,ernesta kareckaite,0,ernesta kareckaite,DEC-SPLT,3,15.0,-0.7392348918868947,-5.079999999999984,-7.6200000000000045,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-04,600036499,600036499|4293183|5119536,4293183,5119536,victor hugo,eduardo torres caut,1,victor hugo,SUBMISSION,2,7.27,2.423047701184828,0.0,3.8100000000000023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-04,600036499,600036499|4565683|5122238,4565683,5122238,raimond magomedaliev,mauricio ruffy,0,mauricio ruffy,KO-TKO,3,14.75,6.0206575083677265,5.079999999999984,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-04,600036499,600036499|5060489|5149437,5149437,5060489,murtaza talha,rodolfo bellato,0,rodolfo bellato,KO-TKO,2,9.77,-0.4271134930902072,-7.6200000000000045,-2.539999999999992,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,-1.0,-4.883720930232558,-9.767441860465116,-0.5,0.0,0.0,0.0,-1.744186046511628,0.0
2023-10-04,600036499,600036499|5149440|5157817,5149440,5157817,magomed gadzhiyasulov,jose daniel medina,1,magomed gadzhiyasulov,DEC-UNA,3,15.0,-2.4695921203036377,5.0800000000000125,2.5400000000000205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-11,600036500,600036500|4050996|5147207,5147207,4050996,yuri panferov,torrez finney,0,torrez finney,SUBMISSION,2,7.720000000000001,2.149257000485978,12.699999999999989,-6.349999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-11,600036500,600036500|4683526|5157668,5157668,4683526,marquel mederos,issa isakov,1,marquel mederos,KO-TKO,1,4.15,-7.107606590142169,2.5400000000000205,-2.5400000000000205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-11,600036500,600036500|4775129|5152409,5152409,4775129,ramon taveras,cortavious romious,1,ramon taveras,KO-TKO,1,0.48,-0.008213721020965181,10.159999999999997,5.0800000000000125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,0.0,1.0,4.526748971193415,12.757201646090534,0.3548387096774194,0.0,0.0,0.0,6.1728395061728385,0.0
