uid,fight_id,event_id,event_date,event_name,promotion,fighter_id,fighter_name,fight_result,opponent_id,opponent_name,title_fight,fight_end_round,fight_result_type,fight_duration,over_2_5
s:3301~l:3321~e:401222724~c:401239995,401222724-4686735-5109762,401222724,2020-09-02,Dana White's Contender Series,DWC,4686734,melsik baghdasaryan,W,4686735,dennis buzukja,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:600036492~c:401577730,600036492-5007669-5123216,600036492,2023-08-15,Dana White's Contender Series,DWC,4684240,ibo aslan,W,5007669,paulo renato jr.,False,1,KO-TKO,2.37,False
s:3301~l:3321~e:600011552~c:401382951,600011552-3077807-4021216,600011552,2021-10-27,Dana White's Contender Series,DWC,4867357,javid basharat,W,4021216,oron kahlon,False,3,SUBMISSION,14.2,True
s:3301~l:3321~e:600036495~c:401592854,600036495-5068827-4410084,600036495,2023-09-06,Dana White's Contender Series,DWC,5032015,dylan budka,W,5068827,chad hanekom,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:600021773~c:401465220,600021773-5077398-5074129,600021773,2022-08-17,Dana White's Contender Series,DWC,5074130,nazim sadykhov,W,5074129,ahmad hassanzada,False,3,KO-TKO,11.98,False
s:3301~l:3321~e:600022207~c:401466054,600022207-4371001-4895769,600022207,2022-08-24,Dana White's Contender Series,DWC,5074274,jesus aguilar,W,4895769,erisson ferreira,False,3,SUBMISSION,11.93,False
s:3301~l:3321~e:600047777~c:401690356,600047777-5215272-4830364,600047777,2024-09-18,Dana White's Contender Series,DWC,5144797,elijah smith,W,5215272,aaron tau,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:600022210~c:401482234,600022210-4891678-3901011,600022210,2022-09-14,Dana White's Contender Series,DWC,4394200,bruna brasil,W,4891678,marnic mann,False,2,KO-TKO,9.55,False
s:3301~l:3321~e:600047780~c:401724475,600047780-5075333-5193167,600047780,2024-10-09,Dana White's Contender Series,DWC,5212351,kody steele,W,5193167,chasen blair,False,2,KO-TKO,9.120000000000001,False
s:3301~l:3321~e:401074496~c:265428,401074496-4371003-3900088,401074496,2018-08-11,Dana White's Contender Series,DWC,4371001,mayra bueno silva,W,4371003,mayana kellem,False,1,SUBMISSION,1.03,False
s:3301~l:3321~e:600021772~c:401445835,600021772-5007669-4873642,600021772,2022-08-10,Dana White's Contender Series,DWC,4565641,jamal pogues,W,5007669,paulo renato jr.,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:401128926~c:270162,401128926-4570799-4873642,401128926,2019-08-21,Dana White's Contender Series,DWC,4565641,jamal pogues,W,4570799,marcos brigagão,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:401128922~c:268462,401128922-4424020-4064714,401128922,2019-07-24,Dana White's Contender Series,DWC,4425355,jamahal hill,W,4064714,alexander poppeck,False,2,KO-TKO,9.48,False
s:3301~l:3321~e:600008641~c:401357140,600008641-4816062-4032401,600008641,2021-09-08,Dana White's Contender Series,DWC,3960072,muin gafurov,L,4816062,chad anheliger,False,3,DEC-SPLT,15.0,True
s:3301~l:3321~e:600047775~c:401711524,600047775-5172335-3895544,600047775,2024-09-04,Dana White's Contender Series,DWC,5120304,austin bashi,W,5172335,dorian ramos,False,2,SUBMISSION,8.25,False
s:3301~l:3321~e:401221629~c:401231060,401221629-4686567-4816066,401221629,2020-08-05,Dana White's Contender Series,DWC,4685870,uros medic,W,4686567,mikey gonzalez,False,1,KO-TKO,2.2,False
s:3301~l:3321~e:600008644~c:401348177,600008644-2512976-4873641,600008644,2021-09-29,Dana White's Contender Series,DWC,4873642,ihor potieria,W,4873641,lucasz sudolski,False,1,KO-TKO,3.68,False
s:3301~l:3321~e:600022208~c:401467212,600022208-3093026-4869428,600022208,2022-08-31,Dana White's Contender Series,DWC,5060398,viktoriia dudakova,W,4869428,maria silva,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:401128920~c:268448,401128920-4963269-4423875,401128920,2019-07-10,Dana White's Contender Series,DWC,4423876,joe solecki,W,4423875,jesse wallace,False,1,SUBMISSION,3.82,False
s:3301~l:3321~e:401128922~c:268463,401128922-3939270-4815998,401128922,2019-07-24,Dana White's Contender Series,DWC,3900088,billy quarantillo,W,3939270,kamuela kirk,False,3,KO-TKO,10.37,False
s:3301~l:3321~e:401221629~c:401231059,401221629-4010873-3099187,401221629,2020-08-05,Dana White's Contender Series,DWC,2594871,dustin jacoby,W,4010873,ty flores,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:600011551~c:401382497,600011551-4836549-4082125,600011551,2021-10-20,Dana White's Contender Series,DWC,4816066,piera rodriguez,W,4836549,valesca machado,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:600011552~c:401382952,600011552-4568503-4686270,600011552,2021-10-27,Dana White's Contender Series,DWC,3309918,karine silva,W,4568503,yan qihui,False,2,SUBMISSION,6.73,False
s:3301~l:3321~e:600036496~c:401571753,600036496-5092399-4426192,600036496,2023-09-13,Dana White's Contender Series,DWC,5075748,james llontop,W,5092399,malik lewis,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:600036496~c:401591006,600036496-3045734-5053878,600036496,2023-09-13,Dana White's Contender Series,DWC,5145497,jhonata diniz,W,5053878,eduardo neves,False,1,KO-TKO,3.25,False
s:3301~l:3321~e:600047773~c:401693509,600047773-5077131-4245470,600047773,2024-08-20,Dana White's Contender Series,DWC,4775129,cortavious romious,W,4245470,michael imperato,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:600036500~c:401571749,600036500-5152409-5077131,600036500,2023-10-11,Dana White's Contender Series,DWC,4775129,cortavious romious,L,5152409,ramon taveras,False,1,KO-TKO,0.48,False
s:3301~l:3321~e:401128920~c:268449,401128920-4095179-2514828,401128920,2019-07-10,Dana White's Contender Series,DWC,3955820,antonio trocoli,D,4095179,kenneth bergh,False,1,NO-CONTEST,3.95,False
s:3301~l:3321~e:401128923~c:268322,401128923-5189560-4426144,401128923,2019-07-31,Dana White's Contender Series,DWC,4426192,rodrigo nascimento,W,4426144,michal martinek,False,1,SUBMISSION,3.27,False
s:3301~l:3321~e:400966347~c:265557,400966347-4236955-3088232,400966347,2017-07-25,Dana White's Contender Series,DWC,4074001,dan ige,W,4236955,luis gomez,False,3,SUBMISSION,13.379999999999999,True
s:3301~l:3321~e:600022211~c:401483871,600022211-5236142-4584163,600022211,2022-09-21,Dana White's Contender Series,DWC,5077131,brunno ferreira,W,4584163,leon aliu,False,1,KO-TKO,1.58,False
s:3301~l:3321~e:600036499~c:401571750,600036499-5119536-4690549,600036499,2023-10-04,Dana White's Contender Series,DWC,4293183,victor hugo,W,5119536,eduardo torres caut,False,2,SUBMISSION,7.27,False
s:3301~l:3321~e:400966348~c:265546,400966348-5240957-4237013,400966348,2017-08-01,Dana White's Contender Series,DWC,4237015,kyler phillips,W,4237013,james gray,False,1,KO-TKO,0.77,False
s:3301~l:3321~e:600047781~c:401728707,600047781-5217935-5134399,600047781,2024-10-16,Dana White's Contender Series,DWC,5147552,heraldo souza,L,5134399,nick klein,False,1,SUBMISSION,0.62,False
s:3301~l:3321~e:600047781~c:401728887,600047781-5218137-5218814,600047781,2024-10-16,Dana White's Contender Series,DWC,5195917,nick piccininni,L,5218137,luis gurule,False,3,DEC-SPLT,15.0,True
s:3301~l:3321~e:600047774~c:401708027,600047774-5211224-5218814,600047774,2024-08-28,Dana White's Contender Series,DWC,5195917,nick piccininni,W,5211224,jack duffy,False,3,DEC-SPLT,15.0,True
s:3301~l:3321~e:600047781~c:401724507,600047781-5223854-5218814,600047781,2024-10-16,Dana White's Contender Series,DWC,5223853,leslie hernandez,L,5223854,julieta martinez,False,3,DEC-SPLT,15.0,True
s:3301~l:3321~e:600047781~c:401721187,600047781-2500735-5218668,600047781,2024-10-16,Dana White's Contender Series,DWC,5236142,jonathan micallef,W,5218668,mohamed ado,False,1,SUBMISSION,3.02,False
s:3301~l:3321~e:401221630~c:401232278,401221630-4683395-4713584,401221630,2020-08-12,Dana White's Contender Series,DWC,4565671,cory mckenna,W,4683395,vanessa demopoulos,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:600047773~c:401693511,600047773-5144174-5130607,600047773,2024-08-20,Dana White's Contender Series,DWC,5001014,cody haddon,W,5144174,billy brand,False,1,SUBMISSION,3.15,False
s:3301~l:3321~e:600036500~c:401606729,600036500-5149442-5235875,600036500,2023-10-11,Dana White's Contender Series,DWC,5146278,lucas rocha,W,5149442,davi bittencourt,False,2,KO-TKO,5.3,False
s:3301~l:3321~e:600047780~c:401690359,600047780-4894780-5217455,600047780,2024-10-09,Dana White's Contender Series,DWC,5217935,artem vakhitov,W,5217455,islem masraf,False,1,KO-TKO,4.38,False
s:3301~l:3321~e:600055007~c:401808386,600055007-5293557-4389252,600055007,2025-09-10,Dana White's Contender Series,DWC,5193167,chasen blair,L,5293557,samuel sanches,False,1,KO-TKO,2.02,False
s:3301~l:3321~e:600047780~c:401724475,600047780-5212351-4389252,600047780,2024-10-09,Dana White's Contender Series,DWC,5193167,chasen blair,L,5212351,kody steele,False,2,KO-TKO,9.120000000000001,False
s:3301~l:3321~e:600047780~c:401724481,600047780-5220883-5001017,600047780,2024-10-09,Dana White's Contender Series,DWC,5218814,anthony drilich,L,5001017,sean gauci,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:600047779~c:401718430,600047779-5213352-5142277,600047779,2024-10-02,Dana White's Contender Series,DWC,5081274,bartosz szewczyk,L,5213352,diyar nurgozhay,False,2,KO-TKO,8.53,False
s:3301~l:3321~e:600047779~c:401690358,600047779-5212857-4571450,600047779,2024-10-02,Dana White's Contender Series,DWC,5125484,carlos calderon,L,4571450,alberto montes,False,2,SUBMISSION,7.63,False
s:3301~l:3321~e:600047779~c:401718429,600047779-5222338-4503229,600047779,2024-10-02,Dana White's Contender Series,DWC,5235875,xavier franklin,L,4503229,david martinez,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:600047779~c:401718428,600047779-5218815-4050996,600047779,2024-10-02,Dana White's Contender Series,DWC,5130607,abdellah er-ramy,L,4050996,torrez finney,False,1,KO-TKO,4.17,False
s:3301~l:3321~e:600047779~c:401718431,600047779-4935217-5149961,600047779,2024-10-02,Dana White's Contender Series,DWC,5150152,christien savoie,L,5149961,jacobe smith,False,2,KO-TKO,7.92,False
s:3301~l:3321~e:401033284~c:265455,401033284-5228275-3254940,401033284,2018-08-01,Dana White's Contender Series,DWC,4354423,roosevelt roberts,W,3254940,garrett gross,False,2,SUBMISSION,7.220000000000001,False
s:3301~l:3321~e:600008640~c:401351344,600008640-4425603-4013049,600008640,2021-09-01,Dana White's Contender Series,DWC,4713584,victor altamirano,W,4013049,carlos candelario,False,3,DEC-SPLT,15.0,True
s:3301~l:3321~e:600047778~c:401690357,600047778-3948572-4047571,600047778,2024-09-25,Dana White's Contender Series,DWC,5216851,danylo voievodkin,W,4047571,bailey schoenfelder,False,1,SUBMISSION,1.22,False
s:3301~l:3321~e:600047778~c:401717097,600047778-5153082-4408436,600047778,2024-09-25,Dana White's Contender Series,DWC,4082400,vadym kutsyi,L,5153082,daniel frunza,False,2,KO-TKO,8.5,False
