uid,fighter_id,SDBL,SDBA,SDB_ACC,SDHL,SDHA,SDH_ACC,SDLL,SDLA,SDL_ACC,TSL,TSA,TS_ACC,SSL,SSA,SS_ACC,KD,SCBL,SCBA,SCB_ACC,SCHL,SCHA,SCH_ACC,SCLL,SCLA,SCL_ACC,RV,SR,TDA,TDL,TDS,TD_ACC,SGBL,SGBA,SGB_ACC,SGHL,SGHA,SGH_ACC,SGLL,SGLA,SGL_ACC,AD,ADTB,ADHG,ADTM,ADTS,SM,TSLL,TSLA,SL_ACC,TSBL,TSBA,SB_ACC,TSHL,TSHA,SH_ACC
s:3301~l:3321~e:600011552~c:401382951,4021216,6,9,0.67,1,11,0.09,4,10,0.4,29,51,0.57,12,32,0.38,0,0,0,0.0,1,2,0.5,0,0,0.0,0,0.000,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4,10,0.4,6,9,0.67,2,13,0.15
s:3301~l:3321~e:600011551~c:401382490,4875514,0,0,0.0,0,6,0.0,0,0,0.0,42,53,0.79,5,11,0.45,0,3,3,1.0,0,0,0.0,0,0,0.0,0,0.000,5,3,0,0.6,0,0,0.0,2,2,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,3,3,1.0,2,8,0.25
s:3301~l:3321~e:600010081~c:401370333,2502713,2,3,0.67,6,12,0.5,1,1,1.0,13,21,0.62,13,21,0.62,0,1,1,1.0,2,3,0.67,1,1,1.0,0,0.000,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,2,1.0,3,4,0.75,8,15,0.53
s:3301~l:3321~e:600010080~c:401377230,4875515,8,10,0.8,3,29,0.1,5,5,1.0,22,51,0.43,18,47,0.38,0,0,0,0.0,1,2,0.5,1,1,1.0,0,0.000,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,6,6,1.0,8,10,0.8,4,31,0.13
s:3301~l:3321~e:600010080~c:401370313,4874989,10,11,0.91,35,89,0.39,1,1,1.0,59,118,0.5,56,114,0.49,0,6,6,1.0,3,4,0.75,0,0,0.0,1,0.000,0,0,0,0.0,0,0,0.0,1,3,0.33,0,0,0.0,0,0,0,0,0,0,1,1,1.0,16,17,0.94,39,96,0.41
s:3301~l:3321~e:600008643~c:401357660,4835136,0,0,0.0,5,14,0.36,0,0,0.0,10,20,0.5,8,18,0.44,0,1,1,1.0,2,3,0.67,0,0,0.0,0,0.000,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,1,1.0,7,17,0.41
s:3301~l:3321~e:401223624~c:401252310,4693719,5,10,0.5,14,48,0.29,1,3,0.33,20,62,0.32,20,62,0.32,0,0,0,0.0,0,1,0.0,0,0,0.0,0,0.000,5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,3,0.33,5,10,0.5,14,49,0.29
s:3301~l:3321~e:401222785~c:401241746,4685886,15,25,0.6,30,102,0.29,12,15,0.8,97,201,0.48,60,149,0.4,0,0,1,0.0,3,6,0.5,0,0,0.0,0,0.000,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,12,15,0.8,15,26,0.58,33,108,0.31
s:3301~l:3321~e:401128925~c:269720,4379326,4,5,0.8,16,35,0.46,4,4,1.0,104,134,0.78,56,85,0.66,0,18,20,0.9,4,8,0.5,4,4,1.0,0,0.250,4,2,1,0.5,1,1,1.0,5,8,0.62,0,0,0.0,3,1,1,0,1,0,8,8,1.0,23,26,0.88,25,51,0.49
s:3301~l:3321~e:401128920~c:268448,4423875,2,3,0.67,0,4,0.0,0,0,0.0,2,8,0.25,2,7,0.29,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.000,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,2,3,0.67,0,4,0.0
s:3301~l:3321~e:401074496~c:265426,4379257,2,2,1.0,10,34,0.29,1,1,1.0,16,41,0.39,13,38,0.34,0,0,0,0.0,0,1,0.0,0,0,0.0,0,0.000,7,1,0,0.14,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,2,2,1.0,10,35,0.29
s:3301~l:3321~e:401033283~c:265433,4354427,22,34,0.65,49,101,0.49,14,14,1.0,87,152,0.57,85,149,0.57,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.000,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,14,14,1.0,22,34,0.65,49,101,0.49
s:3301~l:3321~e:401033284~c:265458,4357591,4,5,0.8,8,18,0.44,2,3,0.67,15,27,0.56,15,27,0.56,0,0,0,0.0,1,1,1.0,0,0,0.0,0,0.000,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,3,0.67,4,5,0.8,9,19,0.47
s:3301~l:3321~e:400972137~c:265526,3039664,27,41,0.66,23,80,0.29,13,14,0.93,66,142,0.46,66,141,0.47,0,1,2,0.5,0,2,0.0,0,0,0.0,0,0.000,7,2,0,0.29,0,0,0.0,2,2,1.0,0,0,0.0,1,0,0,1,0,1,13,14,0.93,28,43,0.65,25,84,0.3
s:3301~l:3321~e:400972137~c:265529,4227123,0,0,0.0,6,21,0.29,1,3,0.33,12,33,0.36,11,32,0.34,0,2,2,1.0,2,6,0.33,0,0,0.0,0,0.000,2,1,0,0.5,0,0,0.0,0,0,0.0,0,0,0.0,2,1,0,0,1,0,1,3,0.33,2,2,1.0,8,27,0.3
s:3301~l:3321~e:400972137~c:265530,3099608,0,0,0.0,2,6,0.33,2,3,0.67,5,12,0.42,5,11,0.45,0,1,2,0.5,0,0,0.0,0,0,0.0,0,0.000,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,3,0.67,1,2,0.5,2,6,0.33
s:3301~l:3321~e:400968459~c:238814,4232927,8,10,0.8,5,27,0.19,3,3,1.0,125,185,0.68,52,83,0.63,0,6,6,1.0,2,6,0.33,6,6,1.0,0,0.000,5,3,0,0.6,5,5,1.0,17,20,0.85,0,0,0.0,5,2,0,0,3,0,9,9,1.0,19,21,0.9,24,53,0.45
s:3301~l:3321~e:400968458~c:238655,4245091,0,0,0.0,3,6,0.5,1,1,1.0,10,15,0.67,10,15,0.67,0,5,6,0.83,1,2,0.5,0,0,0.0,0,0.000,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,1,1.0,5,6,0.83,4,8,0.5
s:3301~l:3321~e:400966348~c:265546,4237013,0,0,0.0,1,3,0.33,1,1,1.0,2,4,0.5,2,4,0.5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.000,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0.0,1,3,0.33
s:3301~l:3321~e:400966348~c:265547,4073937,2,4,0.5,11,35,0.31,3,3,1.0,50,87,0.57,25,59,0.42,0,0,0,0.0,1,3,0.33,0,0,0.0,0,0.133,15,8,2,0.53,1,1,1.0,7,13,0.54,0,0,0.0,5,2,1,1,1,5,3,3,1.0,3,5,0.6,19,51,0.37
