uid,fighter_id,SDBL,SDBA,SDB_ACC,SDHL,SDHA,SDH_ACC,SDLL,SDLA,SDL_ACC,TSL,TSA,TS_ACC,SSL,SSA,SS_ACC,KD,SCBL,SCBA,SCB_ACC,SCHL,SCHA,SCH_ACC,SCLL,SCLA,SCL_ACC,RV,SR,TDA,TDL,TDS,TD_ACC,SGBL,SGBA,SGB_ACC,SGHL,SGHA,SGH_ACC,SGLL,SGLA,SGL_ACC,AD,ADTB,ADHG,ADTM,ADTS,SM,TSLL,TSLA,SL_ACC,TSBL,TSBA,SB_ACC,TSHL,TSHA,SH_ACC
s:3301~l:3321~e:600055021~c:401794169,5219928,8,12,0.67,26,118,0.22,1,5,0.2,38,140,0.27,38,140,0.27,0,0,0,0.0,3,5,0.6,0,0,0.0,0,0.000,5,2,0,0.4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,5,0.2,8,12,0.67,29,123,0.24
s:3301~l:3321~e:600055021~c:401808380,5296762,4,7,0.57,2,16,0.12,8,8,1.0,14,31,0.45,14,31,0.45,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.000,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,8,8,1.0,4,7,0.57,2,16,0.12
s:3301~l:3321~e:600055021~c:401801205,5292169,2,6,0.33,4,21,0.19,4,7,0.57,26,54,0.48,10,35,0.29,0,0,0,0.0,0,1,0.0,0,0,0.0,1,0.000,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,4,7,0.57,2,6,0.33,4,22,0.18
s:3301~l:3321~e:600055021~c:401801206,4049391,0,0,0.0,2,3,0.67,0,0,0.0,51,69,0.74,27,35,0.77,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.000,13,6,0,0.46,0,0,0.0,25,32,0.78,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,27,35,0.77
s:3301~l:3321~e:600055021~c:401801207,5290789,0,1,0.0,7,37,0.19,0,0,0.0,7,39,0.18,7,39,0.18,0,0,0,0.0,0,1,0.0,0,0,0.0,0,0.000,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,7,38,0.18
s:3301~l:3321~e:600055020~c:401793731,5287881,3,4,0.75,16,42,0.38,3,4,0.75,34,67,0.51,30,63,0.48,0,0,0,0.0,2,3,0.67,0,0,0.0,0,0.000,0,0,0,0.0,0,0,0.0,6,10,0.6,0,0,0.0,0,0,0,0,0,0,3,4,0.75,3,4,0.75,24,55,0.44
s:3301~l:3321~e:600055020~c:401793732,5290957,5,8,0.62,67,220,0.3,1,1,1.0,89,251,0.35,84,246,0.34,0,4,4,1.0,7,13,0.54,0,0,0.0,0,0.000,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,9,12,0.75,74,233,0.32
s:3301~l:3321~e:600055020~c:401793734,5279283,1,1,1.0,0,1,0.0,1,2,0.5,56,82,0.68,14,27,0.52,0,1,1,1.0,1,6,0.17,0,0,0.0,4,0.000,1,0,0,0.0,0,0,0.0,10,16,0.62,0,0,0.0,0,0,0,0,0,2,1,2,0.5,2,2,1.0,11,23,0.48
s:3301~l:3321~e:600055020~c:401793735,5282842,4,4,1.0,33,112,0.29,10,11,0.91,78,165,0.47,51,135,0.38,0,1,1,1.0,2,2,1.0,0,0,0.0,1,0.000,0,0,0,0.0,0,0,0.0,1,5,0.2,0,0,0.0,0,0,0,0,0,0,10,11,0.91,5,5,1.0,36,119,0.3
s:3301~l:3321~e:600036332~c:401567321,5144008,27,29,0.93,94,221,0.43,16,17,0.94,163,300,0.54,145,282,0.51,0,5,5,1.0,3,10,0.3,0,0,0.0,0,0.000,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,16,17,0.94,32,34,0.94,97,231,0.42
