fight,winner_pick,winner_probability,winner_fair_american,top_winner_method,top_winner_method_probability,direct_method_top_class,direct_method_top_probability,method_model_agreement,round_top,round_top_probability_shadow,under_0_5_probability_shadow,under_1_5_probability_shadow,under_2_5_probability_shadow,goes_distance_probability_shadow,round_2_starts_probability_shadow,round_3_starts_probability_shadow,coverage_status,odds_used
Norbert Novenyi Jr. vs Theo Haig,Theo Haig,0.6979562697369615,-231,Theo Haig by KO_TKO,0.6930477485358364,B_SUB,0.4082026218664048,False,R1,0.42905478340968195,0.039954993505902765,0.4839729642184604,0.48002940914494807,0.3000656591047886,0.6572042231715955,0.34353057666263764,PRIMARY_V0_4,False
Alvi Dasuyev vs Jaden Ortega,Alvi Dasuyev,0.961592478586953,-2504,Alvi Dasuyev by SUB,0.5027485215547751,B_DEC,0.6499860295030947,False,DEC,0.4455024428852416,0.03044725286795273,0.22008565330769775,0.4693524947144681,0.4232844922667092,0.7986026988556411,0.7909575137651478,PRIMARY_V0_4,False
Marcos Degli vs Paris Moran,Marcos Degli,0.9857331839262953,-6909,Marcos Degli by KO_TKO,0.83479725515674,B_DEC,0.41164650223756044,False,DEC,0.9520683655316095,0.1790543927796434,0.24149252784790162,0.17025224617748227,0.8456685956112787,0.8373968500536632,0.8319756959138104,PRIMARY_V0_4,False
Piero Guaylupo vs Callum Connor,Piero Guaylupo,0.9475035062544604,-1805,Piero Guaylupo by KO_TKO,0.4473271759433342,A_KO_TKO,0.3066897139873158,True,DEC,0.6664430428948066,0.07010664155911761,0.20882139203711758,0.27591941912090706,0.6763866297805644,0.8775111836195644,0.7187474135234153,PRIMARY_V0_4,False
Damian Piwowarczyk vs Emilio Quissua,Emilio Quissua,0.7504473638152667,-301,Emilio Quissua by KO_TKO,0.5895484353490066,A_DEC,0.5250128857644903,False,R3,0.3599508712541535,0.20568491072811945,0.25963479759372415,0.4369570981280691,0.2475748604824363,0.8706335001057691,0.6762969846860816,PRIMARY_V0_4,False
